file,start_sec
6230.220917074000.npz,21.0
6230.220917074000.npz,42.0
6230.220917120000.npz,126.0
6230.220915010000.npz,96.0
6230.220915010000.npz,99.0
6230.220917120000.npz,24.0
6230.220917120000.npz,177.0
6230.220917074000.npz,219.0
6230.220917120000.npz,114.0
6230.220914230000.npz,156.0
6230.220917074000.npz,30.0
6230.220915010000.npz,21.0
6230.220917184000.npz,165.0
6230.220917120000.npz,54.0
6230.220917120000.npz,42.0
6230.220917120000.npz,45.0
6230.220915010000.npz,171.0
6230.220917074000.npz,126.0
6230.220917174000.npz,156.0
6230.220915040000.npz,141.0
6230.220915010000.npz,42.0
6230.220917074000.npz,51.0
6230.220917152000.npz,213.0
6230.220917074000.npz,0.0
6230.220917074000.npz,216.0
6230.220917120000.npz,192.0
6230.220917074000.npz,48.0
6230.220917120000.npz,96.0
6230.220917074000.npz,12.0
6230.220915010000.npz,18.0
6230.220917144000.npz,156.0
6230.220915010000.npz,36.0
6230.220917074000.npz,3.0
6230.220915010000.npz,120.0
6230.220917120000.npz,255.0
6230.220917120000.npz,252.0
6230.220917074000.npz,117.0
6230.220917120000.npz,12.0
6230.220917074000.npz,141.0
6230.220917074000.npz,120.0
6230.220917074000.npz,243.0
6230.220917074000.npz,9.0
6230.220917074000.npz,84.0
6230.220917120000.npz,249.0
6230.220917072000.npz,42.0
6230.220917074000.npz,123.0
6230.220917074000.npz,27.0
6230.220917074000.npz,87.0
6230.220917120000.npz,18.0
6230.220917144000.npz,162.0
6230.220917190000.npz,30.0
6230.220917120000.npz,93.0
6230.220917074000.npz,36.0
6230.220917072000.npz,249.0
6230.220917144000.npz,144.0
6230.220915010000.npz,81.0
6230.220917074000.npz,156.0
6230.220917120000.npz,48.0
6230.220917120000.npz,195.0
6230.220915010000.npz,234.0
6230.220917074000.npz,129.0
6230.220917142000.npz,207.0
6230.220915010000.npz,78.0
6230.220917144000.npz,132.0
6230.220917120000.npz,21.0
6230.220917120000.npz,25.0
6230.220917120000.npz,50.0
6230.220917120000.npz,65.0
6230.220917120000.npz,70.0
6230.220917120000.npz,115.0
6230.220917120000.npz,145.0
6230.220917120000.npz,180.0
6230.220917120000.npz,185.0
6230.220917120000.npz,200.0
6230.220917120000.npz,205.0
6230.220917120000.npz,215.0
6230.220917120000.npz,220.0
6230.220917120000.npz,230.0
6230.220917120000.npz,235.0
6230.221003000000.npz,0.0
6230.221003000000.npz,5.0
6230.221003000000.npz,15.0
6230.221003000000.npz,20.0
6230.221003000000.npz,25.0
6230.221003000000.npz,30.0
6230.221003000000.npz,35.0
6230.221003000000.npz,45.0
6230.221003000000.npz,55.0
6230.221003000000.npz,60.0
6230.221003000000.npz,65.0
6230.221003000000.npz,100.0
6230.221003000000.npz,105.0
6230.221003000000.npz,120.0
6230.221003000000.npz,125.0
6230.221003000000.npz,135.0
6230.221003000000.npz,140.0
6230.221003000000.npz,165.0
6230.221003000000.npz,170.0
6230.221003000000.npz,175.0
6230.221003000000.npz,190.0
6230.221003000000.npz,205.0
6230.221003000000.npz,210.0
6230.221003000000.npz,215.0
6230.221003000000.npz,230.0
6230.221003000000.npz,260.0
6230.220915010000.npz,100.0
6230.220915010000.npz,125.0
6230.220915010000.npz,165.0
6230.220915010000.npz,170.0
6230.220915010000.npz,220.0
6230.220917074000.npz,20.0
6230.220917074000.npz,35.0
6230.220917074000.npz,50.0
6230.220917074000.npz,85.0
6230.220917074000.npz,145.0
6230.220917074000.npz,155.0
6230.220917074000.npz,185.0
6230.220917074000.npz,200.0
6230.220917074000.npz,245.0
6230.220917080000.npz,25.0
6230.220917150000.npz,20.0
6230.220917150000.npz,25.0
