File,Start Time (s),type
6230.220917180000.npz,255.0,ice-noise
6230.220917182000.npz,45.0,ice-noise
6230.220917182000.npz,50.0,ice-noise
6230.220917182000.npz,55.0,ice-noise
6230.220917182000.npz,60.0,ice-noise
6230.220917182000.npz,200.0,ice-noise
6230.220917182000.npz,250.0,ice-noise
6230.220917184000.npz,20.0,ice-noise
6230.220917184000.npz,35.0,ice-noise
6230.220917184000.npz,65.0,ice-noise
6230.220917184000.npz,80.0,ice-noise
6230.220917184000.npz,145.0,ice-noise
6230.220917184000.npz,165.0,ice-noise
6230.220917190000.npz,25.0,ice-noise
6230.220917190000.npz,30.0,ice-noise
6230.220917190000.npz,40.0,ice-noise
6230.220917190000.npz,70.0,ice-noise
6230.220917190000.npz,95.0,ice-noise
6230.220917190000.npz,175.0,ice-noise
6230.220917190000.npz,185.0,ice-noise
6230.220917190000.npz,200.0,ice-noise
6230.221002152000.npz,25.0,ice-noise
6230.221002152000.npz,120.0,ice-noise
6230.221002152000.npz,175.0,ice-noise
6230.221002152000.npz,180.0,ice-noise
6230.221002160000.npz,145.0,ice-noise
6230.221002162000.npz,45.0,ice-noise
6230.221002162000.npz,115.0,ice-noise
6230.221002164000.npz,70.0,ice-noise
6230.221002170000.npz,170.0,ice-noise
6230.221002170000.npz,190.0,ice-noise
6230.221002170000.npz,200.0,ice-noise
6230.221002172000.npz,10.0,ice-noise
6230.221002172000.npz,100.0,ice-noise
6230.221002172000.npz,105.0,ice-noise
6230.221002172000.npz,110.0,ice-noise
6230.221002172000.npz,195.0,ice-noise
6230.221002174000.npz,105.0,ice-noise
6230.221002174000.npz,110.0,ice-noise
6230.221002180000.npz,30.0,ice-noise
6230.221002182000.npz,80.0,ice-noise
6230.221002182000.npz,140.0,ice-noise
6230.221002182000.npz,170.0,ice-noise
6230.221002184000.npz,210.0,ice-noise
6230.221002190000.npz,125.0,ice-noise
6230.221002192000.npz,230.0,ice-noise
6230.221002200000.npz,25.0,ice-noise
6230.221002200000.npz,175.0,ice-noise
6230.221002202000.npz,180.0,ice-noise
6230.221002202000.npz,195.0,ice-noise
6230.221002210000.npz,85.0,ice-noise
6230.221002212000.npz,105.0,ice-noise
6230.221002212000.npz,170.0,ice-noise
6230.221002214000.npz,30.0,ice-noise
6230.221002220000.npz,245.0,ice-noise
6230.221002220000.npz,250.0,ice-noise
6230.221002222000.npz,120.0,ice-noise
6230.221002224000.npz,15.0,ice-noise
6230.221002224000.npz,170.0,ice-noise
6230.221002230000.npz,35.0,ice-noise
6230.221002230000.npz,145.0,ice-noise
6230.221002232000.npz,95.0,ice-noise
6230.221002232000.npz,100.0,ice-noise
6230.221002232000.npz,115.0,ice-noise
6230.221003022000.npz,25.0,ice-noise
6230.221003022000.npz,40.0,ice-noise
6230.221003024000.npz,25.0,ice-noise
6230.221003024000.npz,50.0,ice-noise
6230.221003024000.npz,125.0,ice-noise
6230.221003024000.npz,130.0,ice-noise
6230.221003032000.npz,55.0,ice-noise
6230.221003034000.npz,65.0,ice-noise
6230.221003040000.npz,35.0,ice-noise
6230.221003040000.npz,255.0,ice-noise
6230.221003042000.npz,160.0,ice-noise
6230.221003042000.npz,165.0,ice-noise
6230.221003044000.npz,135.0,ice-noise
6230.221003044000.npz,150.0,ice-noise
6230.221003050000.npz,185.0,ice-noise
6230.221003050000.npz,190.0,ice-noise
6230.221003050000.npz,240.0,ice-noise
6230.221003050000.npz,245.0,ice-noise
6230.221003052000.npz,170.0,ice-noise
6230.221003054000.npz,90.0,ice-noise
6230.221003054000.npz,155.0,ice-noise
6230.220914224000.npz,25.0,clicks
6230.220914224000.npz,30.0,clicks
6230.220914224000.npz,35.0,clicks
6230.220914224000.npz,65.0,clicks
6230.220914224000.npz,150.0,clicks
6230.220914224000.npz,190.0,clicks
6230.220914224000.npz,195.0,clicks
6230.220914224000.npz,200.0,clicks
6230.220914224000.npz,210.0,clicks
6230.220914224000.npz,215.0,clicks
6230.220914224000.npz,220.0,clicks
6230.220914224000.npz,225.0,clicks
6230.220914224000.npz,230.0,clicks
6230.220914224000.npz,235.0,clicks
6230.220914224000.npz,240.0,clicks
6230.220914224000.npz,245.0,clicks
6230.220914224000.npz,250.0,clicks
6230.220914224000.npz,255.0,clicks
6230.220914230000.npz,0.0,clicks
6230.220914230000.npz,10.0,clicks
6230.220914230000.npz,40.0,clicks
6230.220914230000.npz,60.0,clicks
6230.220914230000.npz,70.0,clicks
6230.220914230000.npz,80.0,clicks
6230.220914230000.npz,85.0,clicks
6230.220914230000.npz,90.0,clicks
6230.220914230000.npz,100.0,clicks
6230.220914230000.npz,105.0,clicks
6230.220914230000.npz,125.0,clicks
6230.220914230000.npz,130.0,clicks
6230.220914230000.npz,135.0,clicks
6230.220914230000.npz,140.0,clicks
6230.220914230000.npz,150.0,clicks
6230.220914230000.npz,160.0,clicks
6230.220914230000.npz,165.0,clicks
6230.220914230000.npz,170.0,clicks
6230.220914230000.npz,175.0,clicks
6230.220914230000.npz,180.0,clicks
6230.220914230000.npz,185.0,clicks
6230.220914230000.npz,195.0,clicks
6230.220914230000.npz,205.0,clicks
6230.220914230000.npz,215.0,clicks
6230.220914230000.npz,225.0,clicks
6230.220914230000.npz,230.0,clicks
6230.220914230000.npz,235.0,clicks
6230.220914230000.npz,240.0,clicks
6230.220914230000.npz,245.0,clicks
6230.220914230000.npz,250.0,clicks
6230.220914230000.npz,255.0,clicks
6230.220915002000.npz,25.0,clicks
6230.220915002000.npz,45.0,clicks
6230.220915002000.npz,50.0,clicks
6230.220915002000.npz,100.0,clicks
6230.220915002000.npz,115.0,clicks
6230.220915002000.npz,145.0,clicks
6230.220915002000.npz,225.0,clicks
6230.220915004000.npz,15.0,clicks
6230.220915004000.npz,30.0,clicks
6230.220915004000.npz,50.0,clicks
6230.220915004000.npz,140.0,clicks
6230.220915010000.npz,145.0,clicks
6230.220915010000.npz,205.0,clicks
6230.220915010000.npz,210.0,clicks
6230.220915010000.npz,215.0,clicks
6230.220915010000.npz,225.0,clicks
6230.220915010000.npz,240.0,clicks
6230.220915010000.npz,245.0,clicks
6230.220915010000.npz,255.0,clicks
6230.220917070000.npz,160.0,clicks
6230.220917070000.npz,255.0,clicks
6230.220917072000.npz,0.0,clicks
6230.220917072000.npz,15.0,clicks
6230.220917072000.npz,35.0,clicks
6230.220917072000.npz,45.0,clicks
6230.220917072000.npz,50.0,clicks
6230.220917072000.npz,60.0,clicks
6230.220917072000.npz,65.0,clicks
6230.220917072000.npz,70.0,clicks
6230.220917072000.npz,75.0,clicks
6230.220917072000.npz,80.0,clicks
6230.220917072000.npz,85.0,clicks
6230.220917072000.npz,90.0,clicks
6230.220917072000.npz,95.0,clicks
6230.220917072000.npz,100.0,clicks
6230.220917072000.npz,105.0,clicks
6230.220917072000.npz,110.0,clicks
6230.220917072000.npz,115.0,clicks
6230.220917072000.npz,120.0,clicks
6230.220917072000.npz,125.0,clicks
6230.220917072000.npz,135.0,clicks
6230.220917072000.npz,140.0,clicks
6230.220917072000.npz,145.0,clicks
6230.220917072000.npz,150.0,clicks
6230.220917072000.npz,155.0,clicks
6230.220917072000.npz,160.0,clicks
6230.220917072000.npz,165.0,clicks
6230.220917072000.npz,170.0,clicks
6230.220917072000.npz,175.0,clicks
6230.220917072000.npz,180.0,clicks
6230.220917072000.npz,185.0,clicks
6230.220917072000.npz,190.0,clicks
6230.220917072000.npz,195.0,clicks
6230.220917072000.npz,200.0,clicks
6230.220917072000.npz,210.0,clicks
6230.220917072000.npz,220.0,clicks
6230.220917072000.npz,230.0,clicks
6230.220917072000.npz,235.0,clicks
6230.220917072000.npz,240.0,clicks
6230.220917072000.npz,245.0,clicks
6230.220917072000.npz,250.0,clicks
6230.220917072000.npz,255.0,clicks
6230.220917074000.npz,115.0,clicks
6230.220917074000.npz,190.0,clicks
6230.220917074000.npz,235.0,clicks
6230.220917074000.npz,240.0,clicks
6230.220917074000.npz,255.0,clicks
6230.220917080000.npz,15.0,clicks
6230.220917080000.npz,20.0,clicks
6230.220917080000.npz,30.0,clicks
6230.220917080000.npz,35.0,clicks
6230.220917114000.npz,5.0,clicks
6230.220917114000.npz,15.0,clicks
6230.220917114000.npz,20.0,clicks
6230.220917114000.npz,30.0,clicks
6230.220917114000.npz,35.0,clicks
6230.220917114000.npz,40.0,clicks
6230.220917114000.npz,45.0,clicks
6230.220917114000.npz,50.0,clicks
6230.220917114000.npz,55.0,clicks
6230.220917114000.npz,60.0,clicks
6230.220917114000.npz,65.0,clicks
6230.220917114000.npz,70.0,clicks
6230.220917114000.npz,85.0,clicks
6230.220917114000.npz,90.0,clicks
6230.220917114000.npz,115.0,clicks
6230.220917114000.npz,120.0,clicks
6230.220917114000.npz,125.0,clicks
6230.220917114000.npz,145.0,clicks
6230.220917114000.npz,150.0,clicks
6230.220917114000.npz,155.0,clicks
6230.220917114000.npz,160.0,clicks
6230.220917114000.npz,165.0,clicks
6230.220917114000.npz,170.0,clicks
6230.220917114000.npz,175.0,clicks
6230.220917114000.npz,180.0,clicks
6230.220917114000.npz,190.0,clicks
6230.220917114000.npz,195.0,clicks
6230.220917114000.npz,200.0,clicks
6230.220917114000.npz,205.0,clicks
6230.220917114000.npz,210.0,clicks
6230.220917114000.npz,215.0,clicks
6230.220917114000.npz,220.0,clicks
6230.220917114000.npz,235.0,clicks
6230.220917114000.npz,240.0,clicks
6230.220917114000.npz,245.0,clicks
6230.220917114000.npz,250.0,clicks
6230.220917120000.npz,35.0,clicks
6230.220917120000.npz,50.0,clicks
6230.220917120000.npz,105.0,clicks
6230.220917120000.npz,155.0,clicks
6230.220917120000.npz,165.0,clicks
6230.220917120000.npz,180.0,clicks
6230.220917124000.npz,45.0,clicks
6230.220917142000.npz,205.0,clicks
6230.220917142000.npz,255.0,clicks
6230.220917144000.npz,55.0,clicks
6230.220917144000.npz,60.0,clicks
6230.220917144000.npz,75.0,clicks
6230.220917144000.npz,85.0,clicks
6230.220917144000.npz,90.0,clicks
6230.220917144000.npz,100.0,clicks
6230.220917144000.npz,105.0,clicks
6230.220917144000.npz,120.0,clicks
6230.220917144000.npz,125.0,clicks
6230.220917144000.npz,135.0,clicks
6230.220917144000.npz,145.0,clicks
6230.220917144000.npz,155.0,clicks
6230.220917144000.npz,160.0,clicks
6230.220917144000.npz,190.0,clicks
6230.220917150000.npz,5.0,clicks
6230.220917150000.npz,20.0,clicks
6230.221002234000.npz,0.0,clicks
6230.221002234000.npz,5.0,clicks
6230.221002234000.npz,10.0,clicks
6230.221002234000.npz,15.0,clicks
6230.221002234000.npz,20.0,clicks
6230.221002234000.npz,25.0,clicks
6230.221002234000.npz,30.0,clicks
6230.221002234000.npz,35.0,clicks
6230.221002234000.npz,40.0,clicks
6230.221002234000.npz,45.0,clicks
6230.221002234000.npz,50.0,clicks
6230.221002234000.npz,55.0,clicks
6230.221002234000.npz,60.0,clicks
6230.221002234000.npz,65.0,clicks
6230.221002234000.npz,70.0,clicks
6230.221002234000.npz,75.0,clicks
6230.221002234000.npz,80.0,clicks
6230.221002234000.npz,85.0,clicks
6230.221002234000.npz,100.0,clicks
6230.221002234000.npz,105.0,clicks
6230.221002234000.npz,110.0,clicks
6230.221002234000.npz,120.0,clicks
6230.221002234000.npz,125.0,clicks
6230.221002234000.npz,130.0,clicks
6230.221002234000.npz,135.0,clicks
6230.221002234000.npz,140.0,clicks
6230.221002234000.npz,185.0,clicks
6230.221002234000.npz,205.0,clicks
6230.221002234000.npz,210.0,clicks
6230.221002234000.npz,215.0,clicks
6230.221002234000.npz,220.0,clicks
6230.221002234000.npz,225.0,clicks
6230.221002234000.npz,230.0,clicks
6230.221002234000.npz,235.0,clicks
6230.221002234000.npz,250.0,clicks
6230.221003000000.npz,145.0,clicks
6230.221003000000.npz,150.0,clicks
6230.221003000000.npz,155.0,clicks
6230.221003000000.npz,180.0,clicks
6230.221003000000.npz,185.0,clicks
6230.221003000000.npz,225.0,clicks
6230.221003000000.npz,245.0,clicks
6230.220914224000.npz,0.0,ice-noise
6230.220915010000.npz,25.0,ice-noise
6230.220915010000.npz,125.0,tonal
6230.220915010000.npz,170.0,tonal
6230.220915032000.npz,175.0,ice-noise
6230.220915060000.npz,5.0,ice-noise
6230.220915064000.npz,200.0,ice-noise
6230.220915064000.npz,205.0,ice-noise
6230.220915074000.npz,55.0,ice-noise
6230.220917072000.npz,40.0,ice-noise
6230.220917074000.npz,105.0,tonal
6230.220917074000.npz,145.0,tonal
6230.220917080000.npz,25.0,tonal
6230.220917080000.npz,120.0,ice-noise
6230.220917120000.npz,65.0,tonal
6230.220917120000.npz,145.0,tonal
6230.220917130000.npz,180.0,ice-noise
6230.220917140000.npz,145.0,ice-noise
6230.220917142000.npz,80.0,ice-noise
6230.220917142000.npz,160.0,ice-noise
6230.220917142000.npz,170.0,ice-noise
6230.220917142000.npz,175.0,ice-noise
6230.220917144000.npz,70.0,ice-noise
6230.220917144000.npz,150.0,ice-noise
6230.220917164000.npz,10.0,ice-noise
6230.220917174000.npz,50.0,ice-noise
6230.221002172000.npz,95.0,ice-noise
6230.221002184000.npz,200.0,ice-noise
6230.221002184000.npz,205.0,ice-noise
6230.221002210000.npz,80.0,ice-noise
6230.221002220000.npz,240.0,ice-noise
6230.221003000000.npz,100.0,tonal
6230.221003000000.npz,105.0,tonal
6230.221003000000.npz,125.0,tonal
6230.221003000000.npz,140.0,tonal
6230.221003000000.npz,170.0,tonal
6230.221003000000.npz,230.0,tonal
6230.221003040000.npz,250.0,ice-noise
6230.221002190000.npz,75.0,noise
6230.220917104000.npz,120.0,noise
6230.221002230000.npz,25.0,noise
6230.221002154000.npz,185.0,noise
6230.220917190000.npz,65.0,noise
6230.221002182000.npz,60.0,noise
6230.220915044000.npz,235.0,noise
6230.221003030000.npz,80.0,noise
6230.221002180000.npz,105.0,noise
6230.221003042000.npz,185.0,noise
6230.220917134000.npz,125.0,noise
6230.221002202000.npz,150.0,noise
6230.220914214000.npz,115.0,noise
6230.221002212000.npz,70.0,noise
6230.220917094000.npz,205.0,noise
6230.220917190000.npz,165.0,noise
6230.220917124000.npz,175.0,noise
6230.221002224000.npz,70.0,noise
6230.220917084000.npz,10.0,noise
6230.220917184000.npz,30.0,noise
6230.221003024000.npz,65.0,noise
6230.221003004000.npz,150.0,noise
6230.221002210000.npz,220.0,noise
6230.220917104000.npz,70.0,noise
6230.220917094000.npz,175.0,noise
6230.220917132000.npz,100.0,noise
6230.221003024000.npz,175.0,noise
6230.220915024000.npz,175.0,noise
